,id,created_at,text,fav,RT,rate
985,9.78627660048777E+017,2018-03-27 13:39:50,Progateやドットインストールは、何か作りたい！と思った時に必要な基礎文法を学ぶサイトとして超いい。それにプラス、プロダクトを作れるようになるための何かが足りてない。リファレンスやらが使えるのは、それのちょっと先に行った人たちだから。,23,4,17.3913043478261
279,9.89161161634402E+017,2018-04-25 15:16:13,LINEで登録者が増えるのは・登録が一瞬で簡単・ユーザーの母数が大きい（世代を超える）・グループラインにシェア可能・UIが慣れていてかつ洗練されているってとこだと思います。LINE@でスケールしてからWebとかファンサ… https://t.co/ODR8LXm9O7,34,6,17.6470588235294
411,9.8767945169671E+017,2018-04-21 13:08:26,大企業やらベンチャーやらフリーランスやらの手段の問題はどうでもいいけど、今自分が持っている24時間を・人的資本・社会関係資本・コンテンツ資本・時間資本にどこに投資するかってことが重要。一番だめなのは時間資本をそのまま経済… https://t.co/8THPGTURLa,28,5,17.8571428571429
356,9.88595010428793E+017,2018-04-24 01:46:32,プログラミング教育アプリを使っててイラつくポイント・作ろうとしているものでテンションが上がらない(電卓システムとか)・学んでいる断片が全体の中で位置付けられない・新しいことを学ぶときの前提知識が考慮されていない・購入する前にどこまでできるようになるのか分からない,39,7,17.948717948718
253,9.89391250901029E+017,2018-04-26 06:30:30,【定期】PythonとJavaScriptで、似ているAV女優を教えてくれる人工知能アプリケーションが創れる、「変態博士チュートリアル」で、顔認識アプリを作りませんか？https://t.co/rl1LQkqzJx,22,4,18.1818181818182
1265,9.7350292001554E+017,2018-03-13 10:15:57,アダルトスケベLine BotをQiitaで公開したら、Line BotやってるCRM系の会社から会食のお誘い来て草性欲に素直でよかった,38,7,18.4210526315789
1052,9.77343174300418E+017,2018-03-24 00:35:45,noteでスケベAIの作り方まとめたら読みたい人いますか。電子書籍化して出そうかと考えています。 https://t.co/ZJ2zF8htzf,81,15,18.5185185185185
442,9.87089545719001E+017,2018-04-19 22:04:21,英語を学ぶときに一番効率的だったのは、・好きな洋楽のバンドの歌詞をすべて覚える・細かい文法を調べていく・自分で歌詞を書くって方法で、これをプログラミングにすると・チュートリアルを通す・細かいところググる・自分でプロダクト作るって感じになる。,54,10,18.5185185185185
288,9.89144594758566E+017,2018-04-25 14:10:23,文字起こし君が起動しないときにどうすればいいか誰か対処法書いてくれてて草　ありがたや。https://t.co/wwHs2NSJ8y,32,6,18.75
1004,9.78246147465666E+017,2018-03-26 12:23:51,スケベ基金にご協力いただいた方、ありがとうございました。総勢103件のご支援と、74200円集まっております。スケベチュートリアルは、現在74冊ご購入いただきました～！初心者でもPythonとAIを使ってスケベなプロダクトを作… https://t.co/yioHu2e2DE,32,6,18.75
